,DBN,School Name,Year,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
3694,09X128,MOTT HALL III,2015,102,311.0,17.0,52.0,20.0,13.0
3719,09X145,J.H.S. 145 ARTURO TOSCANINI,2015,142,259.0,112.0,30.0,0.0,0.0
3770,09X215,KAPPA,2015,18,265.0,13.0,5.0,0.0,0.0
3792,09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,2015,50,283.0,22.0,24.0,4.0,0.0
3804,09X219,I.S. 219 NEW VENTURE SCHOOL,2015,108,254.0,88.0,20.0,0.0,0.0
3816,09X229,I.S. 229 ROLAND PATTERSON,2015,68,273.0,41.0,22.0,3.0,2.0
3838,09X231,EAGLE ACADEMY FOR YOUNG MEN,2015,40,270.0,30.0,10.0,0.0,0.0
3850,09X232,I.S. 232,2015,135,280.0,64.0,67.0,4.0,0.0
3871,09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",2015,37,289.0,14.0,23.0,0.0,0.0
3887,09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,2015,92,288.0,40.0,34.0,14.0,4.0
3901,09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,2015,109,280.0,59.0,42.0,8.0,0.0
3913,09X323,BRONX WRITING ACADEMY,2015,137,289.0,53.0,66.0,15.0,3.0
3925,09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,2015,66,279.0,38.0,27.0,0.0,1.0
3938,09X325,URBAN SCIENCE ACADEMY,2015,118,268.0,86.0,28.0,4.0,0.0
3951,09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,2015,120,324.0,11.0,42.0,36.0,31.0
3964,09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,2015,45,271.0,26.0,18.0,1.0,0.0
3976,09X339,I.S. 339,2015,190,275.0,117.0,66.0,6.0,1.0
3984,09X350,NEW DIRECTIONS SECONDARY SCHOOL,2015,27,272.0,18.0,9.0,0.0,0.0
4000,09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,2015,51,290.0,25.0,16.0,6.0,4.0
4035,09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,2015,145,305.0,37.0,67.0,30.0,11.0
4059,09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",2015,85,321.0,9.0,30.0,25.0,21.0
4071,09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,2015,72,312.0,9.0,40.0,18.0,5.0
4092,10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,2015,3,,,,,
4150,10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,2015,63,303.0,19.0,27.0,11.0,6.0
4171,10X020,"PS/MS 20 P.O.GEORGE J. WERDANN, III",2015,63,301.0,20.0,26.0,12.0,5.0
