,DBN,School Name,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,# Level 2,# Level 3,# Level 4
966,02M933,CITY KNOLL MIDDLE SCHOOL,6,2015,All Students,71,299.0,18.0,37.0,8.0,8.0
982,03M054,J.H.S. 054 BOOKER T. WASHINGTON,6,2015,All Students,267,350.0,12.0,20.0,51.0,184.0
985,03M054,J.H.S. 054 BOOKER T. WASHINGTON,7,2015,All Students,271,346.0,19.0,16.0,73.0,163.0
988,03M054,J.H.S. 054 BOOKER T. WASHINGTON,8,2015,All Students,24,253.0,21.0,2.0,0.0,1.0
1015,03M076,P.S. 076 A. PHILIP RANDOLPH,6,2015,All Students,41,271.0,24.0,10.0,7.0,0.0
1018,03M076,P.S. 076 A. PHILIP RANDOLPH,7,2015,All Students,52,288.0,26.0,19.0,4.0,3.0
1021,03M076,P.S. 076 A. PHILIP RANDOLPH,8,2015,All Students,44,289.0,18.0,20.0,6.0,0.0
1072,03M149,P.S. 149 SOJOURNER TRUTH,6,2015,All Students,25,278.0,15.0,8.0,2.0,0.0
1075,03M149,P.S. 149 SOJOURNER TRUTH,7,2015,All Students,27,278.0,17.0,9.0,1.0,0.0
1078,03M149,P.S. 149 SOJOURNER TRUTH,8,2015,All Students,25,271.0,19.0,6.0,0.0,0.0
1107,03M165,P.S. 165 ROBERT E. SIMON,6,2015,All Students,58,282.0,28.0,19.0,5.0,6.0
1110,03M165,P.S. 165 ROBERT E. SIMON,7,2015,All Students,80,269.0,55.0,22.0,3.0,0.0
1113,03M165,P.S. 165 ROBERT E. SIMON,8,2015,All Students,74,272.0,49.0,22.0,3.0,0.0
1141,03M180,P.S. 180 HUGO NEWMAN,6,2015,All Students,53,295.0,21.0,20.0,7.0,5.0
1144,03M180,P.S. 180 HUGO NEWMAN,7,2015,All Students,51,292.0,27.0,16.0,8.0,0.0
1146,03M180,P.S. 180 HUGO NEWMAN,8,2015,All Students,48,288.0,20.0,20.0,7.0,1.0
1160,03M191,P.S. 191 AMSTERDAM,6,2015,All Students,39,275.0,25.0,9.0,3.0,2.0
1163,03M191,P.S. 191 AMSTERDAM,7,2015,All Students,48,276.0,34.0,12.0,2.0,0.0
1166,03M191,P.S. 191 AMSTERDAM,8,2015,All Students,51,269.0,34.0,15.0,2.0,0.0
1223,03M243,M.S. 243 CENTER SCHOOL,6,2015,All Students,61,339.0,0.0,10.0,19.0,32.0
1226,03M243,M.S. 243 CENTER SCHOOL,7,2015,All Students,47,342.0,0.0,7.0,21.0,19.0
1233,03M245,M.S. M245 THE COMPUTER SCHOOL,6,2015,All Students,125,325.0,6.0,39.0,39.0,41.0
1236,03M245,M.S. M245 THE COMPUTER SCHOOL,7,2015,All Students,131,334.0,4.0,38.0,52.0,37.0
1239,03M245,M.S. M245 THE COMPUTER SCHOOL,8,2015,All Students,33,286.0,16.0,16.0,1.0,0.0
1245,03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,6,2015,All Students,61,303.0,12.0,35.0,11.0,3.0
1248,03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,7,2015,All Students,55,305.0,12.0,22.0,20.0,1.0
1251,03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,8,2015,All Students,61,318.0,4.0,31.0,18.0,8.0
1258,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,6,2015,All Students,53,303.0,12.0,29.0,8.0,4.0
1261,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,7,2015,All Students,61,294.0,28.0,27.0,6.0,0.0
1264,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,8,2015,All Students,57,303.0,13.0,36.0,6.0,2.0
1270,03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,6,2015,All Students,48,277.0,25.0,18.0,4.0,1.0
1273,03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,7,2015,All Students,41,285.0,22.0,15.0,4.0,0.0
1276,03M256,M.S. 256 ACADEMIC & ATHLETIC EXCELLENCE,8,2015,All Students,42,269.0,34.0,8.0,0.0,0.0
1282,03M258,COMMUNITY ACTION SCHOOL - MS 258,6,2015,All Students,65,308.0,7.0,31.0,21.0,6.0
1285,03M258,COMMUNITY ACTION SCHOOL - MS 258,7,2015,All Students,76,297.0,29.0,36.0,8.0,3.0
1288,03M258,COMMUNITY ACTION SCHOOL - MS 258,8,2015,All Students,65,303.0,9.0,48.0,5.0,3.0
1303,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,6,2015,All Students,53,309.0,12.0,19.0,12.0,10.0
1306,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,7,2015,All Students,55,321.0,7.0,20.0,20.0,8.0
1309,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,8,2015,All Students,29,302.0,8.0,14.0,5.0,2.0
1323,03M334,THE ANDERSON SCHOOL,7,2015,All Students,62,364.0,0.0,4.0,11.0,47.0
1331,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,6,2015,All Students,9,291.0,3.0,6.0,0.0,0.0
1334,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,7,2015,All Students,13,263.0,11.0,2.0,0.0,0.0
1337,03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,8,2015,All Students,11,266.0,9.0,2.0,0.0,0.0
1343,03M421,WEST PREP ACADEMY,6,2015,All Students,55,304.0,11.0,29.0,11.0,4.0
1346,03M421,WEST PREP ACADEMY,7,2015,All Students,54,299.0,15.0,31.0,8.0,0.0
1349,03M421,WEST PREP ACADEMY,8,2015,All Students,54,287.0,23.0,23.0,7.0,1.0
1369,03M859,SPECIAL MUSIC SCHOOL,6,2015,All Students,13,346.0,0.0,0.0,5.0,8.0
1372,03M859,SPECIAL MUSIC SCHOOL,7,2015,All Students,15,352.0,0.0,0.0,5.0,10.0
1379,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,6,2015,All Students,19,295.0,6.0,7.0,4.0,2.0
1382,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,7,2015,All Students,28,285.0,12.0,15.0,1.0,0.0
1385,03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,8,2015,All Students,19,268.0,11.0,8.0,0.0,0.0
1391,03M862,MOTT HALL II,6,2015,All Students,104,327.0,8.0,23.0,37.0,36.0
1394,03M862,MOTT HALL II,7,2015,All Students,109,329.0,9.0,24.0,55.0,21.0
1397,03M862,MOTT HALL II,8,2015,All Students,53,314.0,4.0,28.0,19.0,2.0
1412,04M007,P.S. 007 SAMUEL STERN,6,2015,All Students,33,295.0,8.0,16.0,9.0,0.0
1415,04M007,P.S. 007 SAMUEL STERN,7,2015,All Students,36,280.0,23.0,11.0,2.0,0.0
1418,04M007,P.S. 007 SAMUEL STERN,8,2015,All Students,41,312.0,10.0,15.0,9.0,7.0
1433,04M012,TAG YOUNG SCHOLARS,6,2015,All Students,64,363.0,0.0,3.0,9.0,52.0
1436,04M012,TAG YOUNG SCHOLARS,7,2015,All Students,53,354.0,0.0,4.0,16.0,33.0
1447,04M013,J.H.S. 013 JACKIE ROBINSON,8,2015,All Students,31,282.0,14.0,16.0,1.0,0.0
1486,04M050,P.S. 050 VITO MARCANTONIO,6,2015,All Students,33,283.0,15.0,17.0,1.0,0.0
1489,04M050,P.S. 050 VITO MARCANTONIO,7,2015,All Students,33,276.0,22.0,10.0,1.0,0.0
1492,04M050,P.S. 050 VITO MARCANTONIO,8,2015,All Students,50,273.0,34.0,16.0,0.0,0.0
1507,04M057,JAMES WELDON JOHNSON,6,2015,All Students,91,289.0,42.0,32.0,10.0,7.0
1510,04M057,JAMES WELDON JOHNSON,7,2015,All Students,90,300.0,31.0,35.0,24.0,0.0
1513,04M057,JAMES WELDON JOHNSON,8,2015,All Students,56,300.0,15.0,24.0,12.0,5.0
1527,04M072,THE LEXINGTON ACADEMY,6,2015,All Students,72,292.0,25.0,35.0,10.0,2.0
1554,04M096,P.S. 096 JOSEPH LANZETTA,6,2015,All Students,48,267.0,36.0,11.0,1.0,0.0
1557,04M096,P.S. 096 JOSEPH LANZETTA,7,2015,All Students,53,273.0,38.0,13.0,2.0,0.0
1560,04M096,P.S. 096 JOSEPH LANZETTA,8,2015,All Students,42,269.0,30.0,9.0,2.0,1.0
1588,04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,6,2015,All Students,83,291.0,28.0,39.0,14.0,2.0
1591,04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,7,2015,All Students,83,282.0,51.0,20.0,10.0,2.0
1595,04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,8,2015,All Students,113,287.0,51.0,55.0,6.0,1.0
1634,04M171,P.S. 171 PATRICK HENRY,6,2015,All Students,91,322.0,7.0,32.0,28.0,24.0
1637,04M171,P.S. 171 PATRICK HENRY,7,2015,All Students,92,331.0,10.0,21.0,28.0,33.0
1640,04M171,P.S. 171 PATRICK HENRY,8,2015,All Students,85,321.0,13.0,27.0,27.0,18.0
1669,04M206,P.S. 206 JOSE CELSO BARBOSA,6,2015,All Students,70,293.0,26.0,26.0,16.0,2.0
1672,04M206,P.S. 206 JOSE CELSO BARBOSA,7,2015,All Students,57,290.0,31.0,16.0,8.0,2.0
1674,04M206,P.S. 206 JOSE CELSO BARBOSA,8,2015,All Students,40,275.0,27.0,13.0,0.0,0.0
1680,04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,6,2015,All Students,40,312.0,4.0,21.0,10.0,5.0
1683,04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,7,2015,All Students,62,303.0,16.0,25.0,20.0,1.0
1686,04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,8,2015,All Students,4,,,,,
1692,04M372,ESPERANZA PREPARATORY ACADEMY,6,2015,All Students,69,274.0,40.0,25.0,4.0,0.0
1694,04M372,ESPERANZA PREPARATORY ACADEMY,7,2015,All Students,84,279.0,50.0,28.0,6.0,0.0
1697,04M372,ESPERANZA PREPARATORY ACADEMY,8,2015,All Students,80,277.0,52.0,27.0,1.0,0.0
1715,04M377,RENAISSANCE SCHOOL OF THE ARTS,6,2015,All Students,50,278.0,27.0,20.0,2.0,1.0
1718,04M377,RENAISSANCE SCHOOL OF THE ARTS,7,2015,All Students,53,286.0,26.0,21.0,5.0,1.0
1721,04M377,RENAISSANCE SCHOOL OF THE ARTS,8,2015,All Students,47,273.0,33.0,12.0,2.0,0.0
1727,04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,6,2015,All Students,38,282.0,21.0,13.0,4.0,0.0
1730,04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,7,2015,All Students,55,277.0,34.0,19.0,2.0,0.0
1733,04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,8,2015,All Students,30,273.0,19.0,11.0,0.0,0.0
